Projekt;Type;Tegn.nr;Inst.nr;Inst.adresse;Tillad-uge;Tilladnr.;Tillad-start;Tillad-slut;Brønd 1;Brønd 2;Eks.profil;Eks.dim;Eks.mat;Eks.lng;Dybde brønd 1;Dybde brønd 2;Ny profil;Ny dim.mm;Ny lng.m;Foring IPO/IPA;Stik antal;Stik åbnet;Relining klar;Opmål.%;Forarb.%;Stikopm.%;Inst.%;Stikåbn.;Korthat;Langhat;Brøndskud;Råskud;Pkt.rep;Ny længde;Stramf. ø100 meter;Stramf. ø100 rest;Stramf. ø150 meter;Stramf. ø150 rest;Stramf. andet meter;Stramf. andet rest;Filt ø100 meter;Filt ø100 rest;Filt ø150 meter;Filt ø150 rest;Filt andet meter;Filt andet rest;Afvigelse;Stik-afvigelse;Bemærkninger
V165460;Strømpe Filt;1;1,0;Digevænget;28-2026;20260140;01-07-2026;10-07-2026;4612007;4612008;;150;BT;5,39;2,43;2,36;Ø;150;5,3;;1;0;hb;100;100;100;100;0;="0/0";="0/0";="1/1";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;1;2,0;Digevænget;28-2026;20260140;01-07-2026;10-07-2026;4612008;4612009;;200;BT;51,7;2,36;2,03;Ø;200;51,72;IPO2072;5;5;TEG;100;100;100;100;100;="5/5";="3/3";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;vand 5-10 %
V165460;Strømpe Filt;1;2,0;Digevænget;28-2026;20260140;01-07-2026;10-07-2026;4612009;4612010;;200;BT;59,46;2,03;1,58;Ø;200;59,55;IPO2072;8;6;TEG;100;100;100;100;100;="6/6";="4/4";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;der er målt i medstrøm med målebånd og TV Mål og urf er i modløb 10-15 % vand
V165460;Strømpe Filt;1;3,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4612010;4612012;;250;BT;46,28;1,58;2,87;Ø;300;46,93;IPO2073;0;0;TEG;100;100;100;100;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Dimensionsskifte lige før 4612010 - ca 30 cm - der sidste rørstylkke inden brønden er plantmed bund og mindre i top
V165460;Strømpe Filt;1;4,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4612012;4612013;;300;BT;44,56;2,87;3,23;Ø;300;44,86;IPO2073;1;0;TEG;100;100;100;100;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Forhindring klemt fast i samling. skæres ud / er fjernet TEG 26-06-2026
V165460;Strømpe Filt;1;5,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4612013;4612014;;400;BT;42,39;3,23;2,87;Ø;400;42,71;IPO2074;0;0;hb;100;100;100;100;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;1;5,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4612014;4612017;;400;BT;43,54;2,87;3,11;Ø;400;42,99;IPO2074;2;0;hb;100;100;100;100;0;="0/0";="0/0";="1/1";="0/0";="0/0";3;0;0;0;0;0;0;0;0;2,8;0;0;0;;;Det er kun 1 af brøndskud som skal fores. efter tegning er der 2 kl 9 - der er kørt tv på den ene. og tegning fra operatør nævner kun 1 med pvc
V165460;Strømpe Filt;1;5,0;Herslev Kirkevej/Haslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4612017;4612022;;400;BT;54,29;3,11;3,18;Ø;400;54,67;IPO2074;3;1;TEG;100;100;100;100;100;="1/1";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Stik 2 skal lukkes
V165460;Strømpe Filt;1;5,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4612022;4612023;;400;BT;50,57;3,18;2,85;Ø;400;50,51;IPO2074;7;3;TEG;100;100;100;100;100;="3/3";="3/3";="1/1";="0/0";="0/0";5;0;0;0;0;0;0;0;0;4,5;0;0;0;;;Stik nr5 er markeret til lukning. ingen førtv på det. Brønd4312023 har stik på tegning. ikke på tv. spules før inst
V165460;Strømpe Filt;1;5,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4612023;4612024;;400;BT;25,33;2,85;3,61;Ø;400;26,22;IPO2074;3;1;TEG;100;100;100;100;100;="1/1";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;stor afvigelse i måling./ skal kontrolleres er opmålt medstrøms
